"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahrain","BHR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","21184.1587528803","19295.3273421893","17290.8180745626","17906.3325145389","18304.7524973552","16926.5765251179","16571.2355305573","17662.6395698555","18239.27235089","17701.0510180974","17934.2729333767","19411.6704900027","20191.5508161928","22239.5218786021","21640.2227118682","21909.035017562","22175.1957583791","22173.5604923996","22475.5059002524","22606.1819885316","22877.9517396821","22501.7599486339","22335.5622400276","22554.5094807182","22743.5608037004","22629.9048617972","22203.8992579167","22036.4017772134","21540.7105504298","20592.9058421785","20386.0175551116","20078.8588400226","20396.9494949542","21249.2650908121","21970.1483612738","22347.9707615986","",
"Bahamas, The","BHS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13895.260863166","14631.7725971502","15363.5915259756","16147.2506181614","16993.3699000978","17913.9317383111","18696.0409265724","19652.2619905537","20498.4432943067","21575.0354552306","19742.3945275051","19542.9562422099","18437.7323022942","19434.6967427445","15863.2027746562","13244.127148733","13640.3340006068","14570.8724827263","16274.2617509068","20077.1993624017","20912.1528587387","18564.6427401278","19370.2436209391","19629.4545292619","21940.4743613944","22542.5357464868","22520.7854417289","22787.0791307626","22919.3067565129","24045.570529206","23247.9318953825","21868.059483047","20635.0833744833","20314.4963599456","20594.3428876667","21170.1669273972","21781.2145055081","21984.3618329777","22776.3162749194","24111.0483977246","24747.3941776487","24957.5701923535","25132.4806302693","24296.9616984772","23996.0750357769","24305.6177221127","24430.7354036377","24316.4858031556","23320.2201968753","21956.4618506724","21920.5165867583","21701.1707342655","22029.9686309219","21714.2700696529","21306.4282366936","20683.8686738956","",
"Bosnia and Herzegovina","BIH","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690.916382399098","858.934220107529","1652.25233568505","2238.84139655409","2590.46940700713","2832.78427910611","2981.89854341003","3107.47434832136","3264.78128957108","3387.39758545123","3585.98849535646","3892.42208140251","4096.29644805726","4328.80484098193","4566.88416925","4438.15135308581","4475.08813004565","4519.20674967619","4481.5842906791","4594.7460432455","4651.72956440838","4801.879972943","",
"Belarus","BLR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2995.41361090308","2958.01707378005","2668.28891437968","2459.96067424121","2174.69399377723","1954.83358299258","2016.29385868968","2255.69811240247","2456.83317297076","2548.97261864239","2704.89942641728","2854.68428543299","3017.86114687136","3252.83690993746","3650.24175022475","4021.05312421374","4450.33110924668","4855.30379194143","5368.51470241432","5391.13395401234","5818.8548592158","6152.45664352862","6264.93185301266","6330.85433028233","6428.39563219057","6158.99466794232","",
"Belize","BLZ","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1072.49091689421","1093.6825450004","1115.52936217867","1138.36005719813","1161.59974028965","1183.83005159567","1203.74967838258","1225.29565784865","1277.45726097251","1306.6730667907","1336.77508120338","1360.60511216399","1471.84824228059","1524.88307248332","1705.12283516578","1740.47122831996","1715.62417568727","1802.46077993353","1917.50160787112","2027.55908881553","2289.01609530611","2264.9025190591","2199.87216343613","2093.80938161627","2074.59878431994","2038.57807837761","2073.31799421949","2242.94788517198","2385.8316825832","2632.78781217711","2849.22366350371","3089.41928626035","3404.36264179182","3557.73134390747","3491.56320920335","3424.32989249092","3364.15103751373","3358.70309288633","3353.00424211736","3514.11786935347","3839.19381847933","3910.37006913096","3997.44692658941","4257.73828612156","4343.52839504031","4342.38638918771","4424.67012377181","4358.81666926914","4385.46694501793","4311.22986887325","4348.01953874968","4337.10791690841","4398.92575180999","4359.77740715388","4440.87387931512","4392.54670854914","",
"Bermuda","BMU","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","27838.3930375774","28436.716583056","29006.5798401619","28640.8780165917","31041.9500043757","31740.6355233978","35659.1612543762","39616.1419860849","39686.9553481262","40290.5688347111","42055.0304719923","43819.358387283","44942.9191535041","45948.8338277272","46699.0989703916","48824.501768485","52988.7455136405","55903.5590573088","56504.0914894508","57503.2189423032","61083.4509496361","62106.1317965972","58400.2839788516","59061.1697050723","58826.9549652087","57167.1018852694","60463.9087856699","62224.8917779393","64196.2324263801","63939.8115704253","63429.2767665396","61503.6383589572","61913.7772348381","63435.4731513697","63374.766845423","65690.9641699689","66969.933143424","69624.4363363497","71810.384072276","73825.1848453623","79988.3500115683","84844.7383808264","83048.803111906","85321.2432651983","86733.3700723903","87616.3859691804","91944.8738136662","94029.6080297516","94903.19153445","89391.2111759902","88207.3275597322","86001.1711723395","81547.8552352009","79251.7816637313","","","",
"Bolivia","BOL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1304.68933110069","1306.58119798645","1353.02449714812","1412.1918572546","1451.17704060749","1502.78129601517","1568.79004534478","1643.74359787701","1414.68851672162","1428.90586513729","1392.74399449421","1433.10426812783","1515.17760174036","1568.60765906354","1580.57258068609","1659.86934199426","1698.96236514542","1744.62811157273","1741.62439932364","1706.06387613612","1646.40110182083","1615.6672124455","1519.15864471838","1427.23332940774","1394.98613922997","1343.76708997758","1283.08205794073","1288.89529942847","1300.63333402365","1323.7741378519","1358.23160568005","1401.89897753609","1397.17215750115","1428.3563690696","1465.79364883607","1504.38632641612","1539.33419281039","1584.10560495389","1631.56339811608","1607.19972638316","1616.52836807006","1613.39945752824","1623.50831250367","1637.7975516968","1676.21693805448","1720.08827044763","1771.93292875397","1821.77598090372","1901.88592869083","1933.70143171415","1981.16631274669","2051.13188381976","2122.39344369528","2231.55870151426","2317.29246009558","2392.7656130372","",
"Brazil","BRA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","3402.46887131154","3640.94189798038","3716.40577170624","3637.39654126476","3654.4420403464","3659.5686969875","3707.24208457057","3786.21397811332","4109.74924961235","4395.5258811033","4661.62808983431","5060.58415634231","5533.20083738168","6155.5114500682","6551.94981373193","6728.91035078665","7211.79332403131","7364.94015897283","7423.16331604725","7738.87138084465","8246.45095382752","7700.91672100745","7567.32416119803","7144.17897331175","7355.7630815539","7772.7823355799","8223.72267627612","8353.89174732292","8189.33336251195","8306.17686322016","7909.81136962613","7896.88710347151","7735.46461528978","7971.50459539626","8268.47211793304","8501.34012194048","8555.07161043079","8709.02827127636","8604.09243664343","8512.82318401765","8730.14729793926","8743.9096913696","8880.16612369755","8855.15207763042","9240.04032375611","9416.3638708601","9675.38900647033","10151.8427200715","10560.2114512359","10443.3198120441","11121.4209541496","11446.6009053327","11557.2673689406","11797.4494119593","11705.4311555548","11159.2541552581","",
"Barbados","BRB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","12960.8079448979","12670.1919442809","12013.4649172767","12041.3221661211","12441.5695313386","12542.3530932957","13140.4755975352","13436.5432200955","13857.6019478002","14305.0153129404","13784.0734429438","13200.5101007011","12405.2058118085","12461.3387486154","12666.0810873136","12876.1632887771","13337.6368181871","13917.3187263378","14383.7377968147","14378.5048931608","14967.6937364012","14567.5772708797","14639.935659571","14914.8433554851","15078.6919923073","15623.8097288184","16447.8132242378","16670.4786604808","16666.428853988","15928.2848511186","15906.1893174632","15967.300452801","15959.3227537143","15895.7072011814","15877.9662561861","15971.0145998208","",
"Brunei Darussalam","BRN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","45832.3375503309","44163.4422832846","51007.9326558812","54446.7201267362","56030.7496252576","66308.9986899939","59666.3655635667","46376.186439335","46818.127307963","45743.0348657193","44752.9242421058","42869.0332380625","40547.1436661164","40211.6228580371","39519.1325256131","38000.707280446","37338.0803400928","37430.8940952276","38112.9376312263","37172.8310210952","37314.088269257","37982.6625465075","38114.8175141206","36669.3835521315","35644.4328530935","35945.2154167348","36215.4150756897","36489.4461327156","37205.9703768656","37610.1867899813","37147.0517793481","36653.2511496377","37614.3962182121","37037.8225824156","35715.9248744725","34515.2038847067","34852.0239843014","35601.4635601931","35388.7638101273","34132.4552764115","32859.6918271171","32226.0959739965","",
